               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  39,            0.041871,             0.01792,                   0,             0.27315,                 0.2,             0.29721,            0.057446,            0.023829,           0.0073548,                   0,            0.002476,            0.002476,            0.002476
                  40,            0.041699,            0.019503,                   0,             0.27315,                 0.2,             0.29721,            0.057446,            0.023829,           0.0073548,                   0,            0.002278,            0.002278,            0.002278
                  41,            0.040161,            0.020201,                   0,             0.21229,                 0.6,             0.37908,            0.085783,            0.022658,           0.0071119,                   0,             0.00208,             0.00208,             0.00208
                  42,            0.043521,            0.018972,                   0,             0.21229,                 0.6,             0.37908,            0.085783,            0.022658,           0.0071119,                   0,            0.001882,            0.001882,            0.001882
                  43,            0.044037,            0.023277,                   0,             0.36054,                 0.2,             0.35963,            0.094548,            0.018161,           0.0080379,                   0,            0.001684,            0.001684,            0.001684
                  44,            0.040559,            0.023109,                   0,             0.36054,                 0.2,             0.35963,            0.094548,            0.018161,           0.0080379,                   0,            0.001486,            0.001486,            0.001486
                  45,            0.041937,            0.020985,                   0,             0.19691,                 0.4,             0.39135,             0.12033,            0.016242,           0.0081092,                   0,            0.001288,            0.001288,            0.001288
                  46,            0.050679,            0.023259,                   0,             0.19691,                 0.4,             0.39135,             0.12033,            0.016242,           0.0081092,                   0,             0.00109,             0.00109,             0.00109
                  47,            0.038456,            0.019365,                   0,             0.26149,                 0.6,             0.21133,            0.075631,            0.017775,           0.0081183,                   0,            0.000892,            0.000892,            0.000892
                  48,            0.036153,            0.023813,                   0,             0.31198,                 0.4,             0.35853,            0.093751,            0.017762,           0.0079804,                   0,            0.000694,            0.000694,            0.000694
                  49,            0.040513,            0.021467,                   0,             0.31198,                 0.4,             0.35853,            0.093751,            0.017762,           0.0079804,                   0,            0.000496,            0.000496,            0.000496
